time,disloc_density_0,disloc_density_1,disloc_density_10,disloc_density_11,disloc_density_2,disloc_density_3,disloc_density_4,disloc_density_5,disloc_density_6,disloc_density_7,disloc_density_8,disloc_density_9,disp_y,fp_yy,slip_increment_0,slip_increment_1,slip_increment_10,slip_increment_11,slip_increment_2,slip_increment_3,slip_increment_4,slip_increment_5,slip_increment_6,slip_increment_7,slip_increment_8,slip_increment_9,stress_vm,stress_yy,total_twin_volume_fraction
0.00024125,20021391.376691,20000000,20000000,20021391.37313,20021391.363713,20021391.396452,20000000,20021391.395471,20021391.391102,20000000,20021391.410855,20021391.359389,7.0845536398477e-05,1.0020052296649,31.023931110677,0,0,-31.023852788006,-31.023852303274,-31.023852954574,0,-31.023853924725,-31.023853275773,0,-31.023853130936,31.023930206112,3221.5753167235,3221.5753173644,0
0.00025125,20085470.788694,20000000,20000000,20085470.776668,20085470.778081,20085470.813181,20000000,20085470.812528,20085470.802983,20000000,20085470.842512,20085470.753392,7.3782138941373e-05,1.0030851829892,32.96500927155,0,0,-32.964949551695,-32.96494988866,-32.964949453336,0,-32.964950386389,-32.964949381725,0,-32.96495066818,32.965009308581,3205.7365566711,3205.736557424,0
0.00026125,20187900.748766,20000000,20000000,20187900.725374,20187900.741126,20187900.750594,20000000,20187900.750531,20187900.741821,20000000,20187900.781242,20187900.708318,7.671874146021e-05,1.004164811936,32.919725123063,0,0,-32.919611417366,-32.919611641466,-32.919610780574,0,-32.919612930358,-32.919611406103,0,-32.919612104087,32.919724810948,3189.9894245788,3189.9894253255,0
0.00027125,20288239.032839,20000000,20000000,20288238.998184,20288239.025828,20288239.006405,20000000,20288239.005288,20288239.034379,20000000,20288239.007529,20288239.005441,7.9655343977229e-05,1.005233165536,32.54126661636,0,0,-32.541208313025,-32.541207768762,-32.541207696702,0,-32.541207726186,-32.541208129312,0,-32.541207193662,32.541267709239,3176.0354972034,3176.0354979247,0
0.00028125,20379750.014625,20000000,20000000,20379750.000344,20379750.005591,20379749.995116,20000000,20379750.018447,20379750.0332,20000000,20379750.009594,20379750.010883,8.2591946512942e-05,1.0062955928381,32.326601917537,0,0,-32.326494619674,-32.326495454989,-32.326495561784,0,-32.32649426289,-32.326496136303,0,-32.326494014668,32.326602240349,3163.0363937602,3163.0363944678,0
0.00029125,20465823.270703,20000000,20000000,20465823.255885,20465823.268906,20465823.252969,20000000,20465823.256943,20465823.25943,20000000,20465823.258085,20465823.253734,8.5528549067017e-05,1.0073545232254,32.186334467134,0,0,-32.186196872837,-32.186198384445,-32.186199144264,0,-32.186196485551,-32.186198647794,0,-32.186196100873,32.186333215918,3150.6113916012,3150.6113922956,0
0.00030125,20548017.310217,20000000,20000000,20548017.345317,20548017.340146,20548017.336127,20000000,20548017.303273,20548017.34485,20000000,20548017.322793,20548017.331661,8.8465151617627e-05,1.0084099930892,32.047525816048,0,0,-32.047483153437,-32.047484276122,-32.047484942244,0,-32.047485736808,-32.047483741933,0,-32.047484541455,32.047525407895,3138.7523322813,3138.7523329648,0
0.00031125,20626392.900777,20000000,20000000,20626392.881789,20626392.858309,20626392.893503,20000000,20626392.873152,20626392.858796,20000000,20626392.906302,20626392.886096,9.1401754152997e-05,1.0094619299511,31.907048271967,0,0,-31.906868289696,-31.90686863376,-31.906868287416,0,-31.906871177117,-31.906867893384,0,-31.906871037249,31.907047909698,3127.4680120587,3127.468012731,0
0.00032125,20700946.398509,20000000,20000000,20700946.351691,20700946.407631,20700946.376916,20000000,20700946.370783,20700946.381156,20000000,20700946.379769,20700946.357467,9.4338356679929e-05,1.010510517797,31.772462720637,0,0,-31.772293707979,-31.772293282614,-31.772293042469,0,-31.772295666473,-31.772293309681,0,-31.772294177971,31.772461993662,3116.7274212847,3116.7274219465,0
0.00033125,20771835.535159,20000000,20000000,20771835.483615,20771835.467764,20771835.484449,20000000,20771835.529556,20771835.50385,20000000,20771835.527942,20771835.536077,9.7274959212425e-05,1.0115559874867,31.645198391226,0,0,-31.645121316937,-31.645121708521,-31.645121349684,0,-31.645121810031,-31.645122481319,0,-31.645121500396,31.64519801965,3106.4927913057,3106.4927919583,0
0.00034125,20839242.20597,20000000,20000000,20839242.176497,20839242.20377,20839242.173481,20000000,20839242.234577,20839242.198371,20000000,20839242.19053,20839242.209794,0.00010021156175982,1.0125985308794,31.524215027861,0,0,-31.523945401138,-31.52394719172,-31.523947624165,0,-31.523944241043,-31.523946783378,0,-31.523943319806,31.524215387411,3096.7325168891,3096.7325175319,0
0.00035125,20903327.529728,20000000,20000000,20903327.563624,20903327.559672,20903327.545142,20000000,20903327.526083,20903327.559167,20000000,20903327.511953,20903327.520926,0.00010314816431307,1.0136383143906,31.408470237328,0,0,-31.408286209499,-31.408287479787,-31.408288176831,0,-31.408284406322,-31.408285964699,0,-31.408283974474,31.408465318556,3087.4191123428,3087.4191129766,0
